"자치구","안심 주소","CCTV 용도","위도","경도","CCTV 수량","수정 일시"
"용산구","교지03-09(00) (갈월동 87-5 숙대입구역)","교지03-09(00) (갈월동 87-5 숙대입구역)","37.5439","126.9721","1","2022-12-01"
"용산구","교지04-16(00) (청파동2가 87-3 데뷰 맞은편)","교지04-16(00) (청파동2가 87-3 데뷰 맞은편)","37.5448","126.9688","1","2022-12-01"
"용산구","교지04-65(00) 19-1차(청파동2가 1-157 숙대 명재관 앞)","교지04-65(00) 19-1차(청파동2가 1-157 숙대 명재관 앞)","37.5468","126.9650","1","2022-12-01"
"용산구","교지04-67(00) (서계동 267-64 배문고등학교 정문)","교지04-67(00) (서계동 267-64 배문고등학교 정문)","37.5503","126.9637","1","2022-12-01"
"용산구","교지04-75(00) 21-2차(청파동1가 204-8 청파초 담장)","교지04-75(00) 21-2차(청파동1가 204-8 청파초 담장)","37.5482","126.9643","1","2022-12-01"
"용산구","교지05-07(00) (신계동 40-1 전자상가4 공영주차장)","교지05-07(00) (신계동 40-1 전자상가4 공영주차장)","37.5337","126.9616","1","2022-12-01"
"용산구","교지05-08(00) (문배동 8-5 단박돈까스 앞)","교지05-08(00) (문배동 8-5 단박돈까스 앞)","37.5382","126.9710","1","2022-12-01"
"용산구","교지05-35(00) 20-2차(문배동 7-6 이안아파트 102동)","교지05-35(00) 20-2차(문배동 7-6 이안아파트 102동)","37.5382","126.9700","1","2022-12-01"
"용산구","교지05-41(00) 21-2차(문배동 24-6 CJ나인파크 202동 인도상)","교지05-41(00) 21-2차(문배동 24-6 CJ나인파크 202동 인도상)","37.5360","126.9686","1","2022-12-01"
"용산구","교지05-42(00) (원효로89길18 용산경찰서 앞)","교지05-42(00) (원효로89길18 용산경찰서 앞)","37.5408","126.9682","1","2022-12-01"
"용산구","교지05-43(00) (원효로97길22 아세아항공학교 앞)","교지05-43(00) (원효로97길22 아세아항공학교 앞)","37.5420","126.9693","1","2022-12-01"
